year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1909,В когтях дьявола,"Раскатов, Михаил",m,PREP NOUN NOUN,PREP NOUN NOUN,авантюрный,0,
1909,Антон Кречет,"Раскатов, Михаил",m,NOUN NOUN,NOUN NOUN,приключенческий,0,3 лицо
1909,На весах справедливости,"Рафалович, Сергй Львович",m,PREP NOUN NOUN,PREP NOUN NOUN,,0,
1909,Змея и чаша,"Светлов, Валериан Яковлевич",m,NOUN CONJ NOUN,NOUN CONJ NOUN,семейно-бытовой,0,3 лицо
1909,Королева Ортруда,"Сологуб, Федор Кузьмич",m,NOUN NOUN,NOUN NOUN,"социально-психологический, символистский, любовный, философский, фантастический",1,3 лицо
1909,Волк в овечьей шкуре,"Травин, Петр Александрович",m,NOUN PREP ADJF NOUN,NOUN PREP ADJF/PRTF NOUN,,0,3 лицо
1909,Страшный разбойник Дезори – ненавистник женщин,"Травин, Петр Александрович",m,ADJF NOUN NOUN NOUN NOUN,ADJF/PRTF NOUN NOUN NOUN NOUN,,0,
1909,За океан,"Фёдоров, Александр Митрофанович",m,PREP NOUN,PREP NOUN,,0,
1910,Девятидесятники,"Амфитеатров, Александр Валентинович",m,NOUN,NOUN,"Семейная хроника (из эпопеи «Концы и начала. Хроника 1880-1910»), любовный",0,3 лицо
1910,Закат старого века,"Амфитеатров, Александр Валентинович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,"хроника (из эпопеи «Концы и начала»), исторический",0,3 лицо
1910,Марья Лусьева за границей,"Амфитеатров, Александр Валентинович",m,NOUN NOUN PREP NOUN,NOUN NOUN PREP NOUN,"социально-психологический, уголовный",0,3 лицо
1910,Муть,"Анзимиров, Владимир Александрович",m,NOUN,NOUN,1) автобиографический роман,0,
1910,У последней черты,"Арцыбашев, Михаил Петрович",m,PREP ADJF NOUN,PREP ADJF/PRTF NOUN,социально-психологический,0,3 лицо
1910,Чухонский бог,"Брешко-Брешковский, Николай Николаевич",m,ADJF NOUN,ADJF/PRTF NOUN,"социально-психологическйи, борцы",0,
1910,Жанна де Ламотт,"Волконский, Михаил Николаевич",m,NOUN PRCL NOUN,NOUN PRCL NOUN,"исторический, авантюрный, уголовный",0,3 лицо
1910,Отмычки счастья,"Ельцова, М.",f,NOUN NOUN,NOUN NOUN,,0, 
1910,Землянка,"Каменский, Василий Васильевич",m,NOUN,NOUN,антиурбанистический/идиллический,0,
1910,В ином мире,"Крыжановская (Рочестер), Вера Ивановна ",f,PREP ADJF NOUN,PREP ADJF/PRTF NOUN,авантюрный,0,3 лицо
1910,Гнев божий,"Крыжановская (Рочестер), Вера Ивановна ",f,NOUN ADJF,NOUN ADJF/PRTF,"утопический, эзотерический, оккультный, эпический",0,3 лицо
1910,Один из Лопуховых,"Мейснер, Александр Федорович",m,ADJF PREP NOUN,ADJF/PRTF PREP NOUN,"Биографический, психологический, помещики",0,
1910,Гнев Диониса,"Нагродская, Евдокия Аполлоновна",f,NOUN NOUN,NOUN NOUN,"любовный, авантюрный",0,1 лицо
1910,Драма 11 марта 1801 год,"Окрейц, Станислав Станиславович",m,NOUN NUMR NOUN NUMR NOUN,NOUN NUMR NOUN NUMR NOUN,,0,
1910,Праздник Весны,"Олигер, Николай Фридрихович",m,NOUN NOUN,NOUN NOUN,"эзотерический, философский",0,3 лицо
1910,Разрушенное счастье,"Пазухин, Алексей Михайлович",m,PRTF NOUN,ADJF/PRTF NOUN,"любовный, бытовой",0,3 лицо
1910,Буря в стоячих водах,"Пазухин, Алексей Михайлович",m,NOUN PREP ADJF NOUN,NOUN PREP ADJF/PRTF NOUN,Буржуазия,0,
1910,Кладоискатели,"Раскатов, Михаил",m,NOUN,NOUN,Приключенческий,0,
1910,Из потока,"Раскатов, Михаил",m,PREP NOUN,PREP NOUN,авантюрный,0,
1910,Проснулась женщина!,"Северцев-Полилов, Георгий Тихонович",m,VERB NOUN,VERB NOUN,,0,
1910,Андрей Щербина,"Сергеенко, Петр Алексеевич",m,NOUN NOUN,NOUN NOUN,социально-психологический,0,
